Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
55:46.3,344.867,55:46.3,62.2978,55:46.3,0.196111
55:46.4,344.813,55:46.4,62.2913,55:46.4,0.19586
55:46.5,344.924,55:46.5,62.387,55:46.5,0.195275
55:46.6,344.859,55:46.6,62.4565,55:46.6,0.195847
55:46.7,344.867,55:46.7,62.3378,55:46.7,0.195503
55:46.8,344.863,55:46.8,62.4469,55:46.8,0.196189
55:46.9,344.806,55:46.9,62.2491,55:46.9,0.195796
55:47.0,344.761,55:47.0,62.3638,55:47.0,0.19613
55:47.1,344.786,55:47.1,62.3157,55:47.1,0.196078
55:47.2,344.869,55:47.2,62.339,55:47.2,0.195848
55:47.3,344.906,55:47.3,62.1776,55:47.3,0.195473
55:47.4,344.835,55:47.4,62.1977,55:47.4,0.195707
55:47.5,344.941,55:47.5,62.3402,55:47.5,0.195332
55:47.6,344.927,55:47.6,62.3809,55:47.6,0.195333
55:47.7,344.862,55:47.7,62.4012,55:47.7,0.195749
55:47.8,344.85,55:47.8,62.3862,55:47.8,0.196232
55:47.9,344.75,55:47.9,62.2677,55:47.9,0.195942
55:48.0,344.885,55:48.0,62.4001,55:48.0,0.196259
55:48.1,344.841,55:48.1,62.3216,55:48.1,0.195518
55:48.2,344.806,55:48.2,62.3754,55:48.2,0.195458
55:48.3,344.941,55:48.3,62.424,55:48.3,0.195586
55:48.4,344.883,55:48.4,62.2117,55:48.4,0.195394
55:48.5,344.827,55:48.5,62.4205,55:48.5,0.195276
55:48.6,344.851,55:48.6,62.3052,55:48.6,0.19582
55:48.7,344.945,55:48.7,62.3919,55:48.7,0.19618
55:48.8,344.864,55:48.8,62.4002,55:48.8,0.195615
55:48.9,344.869,55:48.9,62.3162,55:48.9,0.195837
55:49.0,344.872,55:49.0,62.3702,55:49.0,0.195778
55:49.1,344.894,55:49.1,62.3466,55:49.1,0.195614
55:49.2,344.905,55:49.2,62.2257,55:49.2,0.195323
55:49.3,344.899,55:49.3,62.356,55:49.3,0.195102
55:49.4,344.847,55:49.4,62.2963,55:49.4,0.195368
55:49.5,344.9,55:49.5,62.3634,55:49.5,0.195985
