Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
17:18.7,502.329,17:18.7,330.673,17:18.7,1.99121
17:18.8,502.418,17:18.8,330.71,17:18.8,1.99098
17:18.9,502.385,17:18.9,330.67,17:18.9,1.99109
17:19.0,502.292,17:19.0,330.656,17:19.0,1.99047
17:19.1,502.27,17:19.1,330.712,17:19.1,1.99088
17:19.2,502.365,17:19.2,330.628,17:19.2,1.99048
17:19.3,502.344,17:19.3,330.872,17:19.3,1.99146
17:19.4,502.377,17:19.4,330.568,17:19.4,1.99121
17:19.5,502.317,17:19.5,330.636,17:19.5,1.99056
17:19.6,502.275,17:19.6,330.673,17:19.6,1.99093
17:19.7,502.328,17:19.7,330.761,17:19.7,1.99086
17:19.8,502.301,17:19.8,330.771,17:19.8,1.9908
17:19.9,502.366,17:19.9,330.801,17:19.9,1.9907
17:20.0,502.334,17:20.0,330.625,17:20.0,1.99091
17:20.1,502.275,17:20.1,330.697,17:20.1,1.99042
17:20.2,502.347,17:20.2,330.656,17:20.2,1.99121
17:20.3,502.308,17:20.3,330.593,17:20.3,1.99051
17:20.4,502.318,17:20.4,330.658,17:20.4,1.99085
17:20.5,502.222,17:20.5,330.756,17:20.5,1.99097
17:20.6,502.44,17:20.6,330.648,17:20.6,1.99082
17:20.7,502.324,17:20.7,330.683,17:20.7,1.99071
17:20.8,502.31,17:20.8,330.665,17:20.8,1.99113
17:20.9,502.219,17:20.9,330.532,17:20.9,1.9909
17:21.0,502.401,17:21.0,330.7,17:21.0,1.991
17:21.1,502.365,17:21.1,330.751,17:21.1,1.99088
17:21.2,502.278,17:21.2,330.677,17:21.2,1.99092
17:21.3,502.33,17:21.3,330.73,17:21.3,1.99071
17:21.4,502.285,17:21.4,330.548,17:21.4,1.99084
17:21.5,502.352,17:21.5,330.66,17:21.5,1.99099
17:21.6,502.343,17:21.6,330.653,17:21.6,1.9908
17:21.7,502.311,17:21.7,330.575,17:21.7,1.99118
17:21.8,502.384,17:21.8,330.675,17:21.8,1.9906
17:21.9,502.291,17:21.9,330.747,17:21.9,1.99086
17:22.0,502.348,17:22.0,330.663,17:22.0,1.99099
17:22.1,502.313,17:22.1,330.857,17:22.1,1.99069
17:22.2,502.348,17:22.2,330.776,17:22.2,1.99115
17:22.3,502.233,17:22.3,330.723,17:22.3,1.99116
17:22.4,502.471,17:22.4,330.667,17:22.4,1.99083
17:22.5,502.288,17:22.5,330.745,17:22.5,1.99129
17:22.6,502.257,17:22.6,330.63,17:22.6,1.99081
17:22.7,502.347,17:22.7,330.696,17:22.7,1.99113
17:22.8,502.26,17:22.8,330.68,17:22.8,1.991
17:22.9,502.382,17:22.9,330.663,17:22.9,1.99061
17:23.0,502.221,17:23.0,330.673,17:23.0,1.99104
17:23.1,502.178,17:23.1,330.755,17:23.1,1.9911
17:23.2,502.335,17:23.2,330.558,17:23.2,1.99086
17:23.3,502.319,17:23.3,330.567,17:23.3,1.99135
17:23.4,502.299,17:23.4,330.715,17:23.4,1.991
17:23.5,502.296,17:23.5,330.743,17:23.5,1.99092
17:23.6,502.177,17:23.6,330.48,17:23.6,1.99122
17:23.7,502.239,17:23.7,330.619,17:23.7,1.99091
17:23.8,502.389,17:23.8,330.708,17:23.8,1.99059
17:23.9,502.244,17:23.9,330.664,17:23.9,1.99121
17:24.0,502.337,17:24.0,330.728,17:24.0,1.99113
17:24.1,502.239,17:24.1,330.657,17:24.1,1.99086
17:24.2,502.297,17:24.2,330.58,17:24.2,1.99093
17:24.3,502.267,17:24.3,330.704,17:24.3,1.99063
17:24.4,502.284,17:24.4,330.663,17:24.4,1.99057
17:24.5,502.303,17:24.5,330.604,17:24.5,1.99095
17:24.6,502.254,17:24.6,330.577,17:24.6,1.99039
17:24.7,502.26,17:24.7,330.766,17:24.7,1.9912
17:24.8,502.277,17:24.8,330.691,17:24.8,1.99107
17:24.9,502.325,17:24.9,330.689,17:24.9,1.99118
17:25.0,502.608,17:25.0,328.303,17:25.0,1.99084
17:25.1,503.186,17:25.1,329.167,17:25.1,1.99107
17:25.2,503.002,17:25.2,329.131,17:25.2,1.99162
17:25.3,502.926,17:25.3,329.314,17:25.3,1.99121
17:25.4,502.991,17:25.4,329.152,17:25.4,1.99101
17:25.5,502.846,17:25.5,329.43,17:25.5,1.9912
17:25.6,502.891,17:25.6,329.192,17:25.6,1.9916
17:25.7,502.893,17:25.7,329.375,17:25.7,1.99079
17:25.8,502.872,17:25.8,329.343,17:25.8,1.99108
17:25.9,502.765,17:25.9,329.037,17:25.9,1.99161
17:26.0,502.995,17:26.0,329.293,17:26.0,1.99104
17:26.1,502.799,17:26.1,329.419,17:26.1,1.99123
17:26.2,502.827,17:26.2,329.232,17:26.2,1.99087
17:26.3,502.777,17:26.3,329.313,17:26.3,1.99102
17:26.4,502.757,17:26.4,329.419,17:26.4,1.99084
17:26.5,502.728,17:26.5,329.419,17:26.5,1.991
17:26.6,502.728,17:26.6,329.431,17:26.6,1.99121
17:26.7,502.731,17:26.7,329.424,17:26.7,1.99097
