Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
04:50.1,497.862,04:50.1,294.413,04:50.1,1.68435
04:50.2,497.76,04:50.2,294.418,04:50.2,1.68391
04:50.3,497.763,04:50.3,294.389,04:50.3,1.68465
04:50.4,497.843,04:50.4,294.284,04:50.4,1.68456
04:50.5,497.759,04:50.5,294.201,04:50.5,1.68452
04:50.6,497.753,04:50.6,294.437,04:50.6,1.68487
04:50.7,497.825,04:50.7,294.338,04:50.7,1.68436
04:50.8,497.823,04:50.8,294.473,04:50.8,1.68467
04:50.9,497.82,04:50.9,294.442,04:50.9,1.68512
04:51.0,497.851,04:51.0,294.194,04:51.0,1.68468
04:51.1,497.827,04:51.1,294.18,04:51.1,1.68432
04:51.2,497.779,04:51.2,294.332,04:51.2,1.68515
04:51.3,497.818,04:51.3,294.34,04:51.3,1.6845
04:51.4,497.798,04:51.4,294.236,04:51.4,1.68481
04:51.5,497.818,04:51.5,294.258,04:51.5,1.68505
04:51.6,497.77,04:51.6,294.173,04:51.6,1.68512
04:51.7,497.857,04:51.7,294.455,04:51.7,1.6843
04:51.8,497.805,04:51.8,294.48,04:51.8,1.68408
04:51.9,497.814,04:51.9,294.368,04:51.9,1.68456
04:52.0,497.753,04:52.0,294.366,04:52.0,1.68491
04:52.1,497.827,04:52.1,294.321,04:52.1,1.68488
04:52.2,497.86,04:52.2,294.397,04:52.2,1.68428
04:52.3,497.811,04:52.3,294.202,04:52.3,1.68502
04:52.4,497.792,04:52.4,294.182,04:52.4,1.68411
04:52.5,497.854,04:52.5,294.306,04:52.5,1.68456
04:52.6,497.783,04:52.6,294.412,04:52.6,1.68437
04:52.7,497.841,04:52.7,294.201,04:52.7,1.68412
04:52.8,497.703,04:52.8,294.277,04:52.8,1.6845
04:52.9,497.754,04:52.9,294.172,04:52.9,1.68417
04:53.0,497.802,04:53.0,294.222,04:53.0,1.68417
04:53.1,497.795,04:53.1,294.254,04:53.1,1.68422
04:53.2,497.819,04:53.2,294.37,04:53.2,1.68463
04:53.3,497.782,04:53.3,294.414,04:53.3,1.68466
04:53.4,497.732,04:53.4,294.387,04:53.4,1.68461
04:53.5,497.779,04:53.5,294.408,04:53.5,1.68483
04:53.6,497.86,04:53.6,294.339,04:53.6,1.68439
04:53.7,497.778,04:53.7,294.421,04:53.7,1.6848
04:53.8,497.748,04:53.8,294.352,04:53.8,1.68458
04:53.9,497.77,04:53.9,294.448,04:53.9,1.68483
04:54.0,497.784,04:54.0,294.311,04:54.0,1.6849
04:54.1,497.732,04:54.1,294.273,04:54.1,1.68492
04:54.2,497.756,04:54.2,294.306,04:54.2,1.68438
04:54.3,497.842,04:54.3,294.209,04:54.3,1.68458
